tanggal_data,harga_rata_rata,variant_id,variant_nama
2025-05-06 00:00:00+00:00,14488.14930738304,52,Beras Medium
2025-05-07 00:00:00+00:00,14502.695222796574,52,Beras Medium
2025-05-08 00:00:00+00:00,14501.562136539265,52,Beras Medium
2025-05-09 00:00:00+00:00,14479.364271042188,52,Beras Medium
2025-05-14 00:00:00+00:00,14495.15983505639,52,Beras Medium
2025-05-15 00:00:00+00:00,14505.178079939433,52,Beras Medium
2025-05-16 00:00:00+00:00,14488.64181020259,52,Beras Medium
2025-05-19 00:00:00+00:00,14515.238552057226,52,Beras Medium
2025-05-20 00:00:00+00:00,14513.849619308688,52,Beras Medium
2025-05-21 00:00:00+00:00,14516.708278769842,52,Beras Medium
2025-05-22 00:00:00+00:00,14507.61962891604,52,Beras Medium
2025-05-23 00:00:00+00:00,14510.295014880952,52,Beras Medium
2025-05-26 00:00:00+00:00,14524.194869047618,52,Beras Medium
2025-05-27 00:00:00+00:00,14531.569167710944,52,Beras Medium
2025-05-28 00:00:00+00:00,14533.579408939015,52,Beras Medium
2025-06-02 00:00:00+00:00,14539.8188320802,52,Beras Medium
2025-06-03 00:00:00+00:00,14543.083985588972,52,Beras Medium
2025-06-04 00:00:00+00:00,14555.852061246867,52,Beras Medium
2025-06-05 00:00:00+00:00,14571.582862103174,52,Beras Medium
2025-06-10 00:00:00+00:00,14571.67254589599,52,Beras Medium
2025-06-11 00:00:00+00:00,14581.973019371346,52,Beras Medium
2025-06-12 00:00:00+00:00,14595.406240862572,52,Beras Medium
2025-06-13 00:00:00+00:00,14597.111884137426,52,Beras Medium
2025-06-16 00:00:00+00:00,14626.879023444028,52,Beras Medium
2025-06-17 00:00:00+00:00,14640.711913794903,52,Beras Medium
2025-06-18 00:00:00+00:00,14655.28793170426,52,Beras Medium
2025-06-19 00:00:00+00:00,14677.898619204261,52,Beras Medium
2025-06-20 00:00:00+00:00,14678.356409513366,52,Beras Medium
2025-06-23 00:00:00+00:00,14689.802265298664,52,Beras Medium
2025-06-24 00:00:00+00:00,14672.305867637844,52,Beras Medium
2025-06-25 00:00:00+00:00,14683.499483970343,52,Beras Medium
2025-06-26 00:00:00+00:00,14697.067738043024,52,Beras Medium
2025-06-30 00:00:00+00:00,14703.500495352966,52,Beras Medium
2025-07-01 00:00:00+00:00,14733.435047149123,52,Beras Medium
2025-07-02 00:00:00+00:00,14737.546832602338,52,Beras Medium
2025-07-03 00:00:00+00:00,14750.08822002924,52,Beras Medium
2025-07-04 00:00:00+00:00,14745.780595655806,52,Beras Medium
2025-07-07 00:00:00+00:00,14766.626058270676,52,Beras Medium
2025-07-08 00:00:00+00:00,14813.384088241437,52,Beras Medium
2025-07-09 00:00:00+00:00,14830.540528299916,52,Beras Medium
2025-07-10 00:00:00+00:00,14846.91472895781,52,Beras Medium
2025-07-11 00:00:00+00:00,14854.91910395781,52,Beras Medium
2025-07-14 00:00:00+00:00,14875.01882330827,52,Beras Medium
2025-07-15 00:00:00+00:00,14878.271761904762,52,Beras Medium
2025-07-16 00:00:00+00:00,14879.654196115289,52,Beras Medium
2025-07-17 00:00:00+00:00,14923.806450918964,52,Beras Medium
2025-07-18 00:00:00+00:00,14909.478972848789,52,Beras Medium
2025-07-21 00:00:00+00:00,14951.799239661654,52,Beras Medium
2025-07-22 00:00:00+00:00,14980.298250992064,52,Beras Medium
2025-07-23 00:00:00+00:00,14985.856950344612,52,Beras Medium
2025-07-24 00:00:00+00:00,14986.339841948622,52,Beras Medium
2025-07-25 00:00:00+00:00,15010.219003132832,52,Beras Medium
2025-07-28 00:00:00+00:00,15055.087259972848,52,Beras Medium
2025-07-29 00:00:00+00:00,15073.398628393901,52,Beras Medium
2025-07-30 00:00:00+00:00,15075.41617225355,52,Beras Medium
2025-07-31 00:00:00+00:00,15071.030273130744,52,Beras Medium
2025-08-01 00:00:00+00:00,15071.337246814954,52,Beras Medium
2025-05-06 00:00:00+00:00,16385.343364728364,51,Beras Premium
2025-05-07 00:00:00+00:00,16390.320291208416,51,Beras Premium
2025-05-08 00:00:00+00:00,16384.351830247455,51,Beras Premium
2025-05-09 00:00:00+00:00,16377.152831066456,51,Beras Premium
2025-05-14 00:00:00+00:00,16393.23312058812,51,Beras Premium
2025-05-15 00:00:00+00:00,16393.075430272806,51,Beras Premium
2025-05-16 00:00:00+00:00,16383.082912254788,51,Beras Premium
2025-05-19 00:00:00+00:00,16399.62843670781,51,Beras Premium
2025-05-20 00:00:00+00:00,16403.104357571858,51,Beras Premium
2025-05-21 00:00:00+00:00,16397.389615118365,51,Beras Premium
2025-05-22 00:00:00+00:00,16409.77700250575,51,Beras Premium
2025-05-23 00:00:00+00:00,16414.018732235483,51,Beras Premium
2025-05-26 00:00:00+00:00,16408.877477116726,51,Beras Premium
2025-05-27 00:00:00+00:00,16402.855062380564,51,Beras Premium
2025-05-28 00:00:00+00:00,16409.558964919466,51,Beras Premium
2025-06-02 00:00:00+00:00,16416.93213888889,51,Beras Premium
2025-06-03 00:00:00+00:00,16415.038201030577,51,Beras Premium
2025-06-04 00:00:00+00:00,16421.216744062243,51,Beras Premium
2025-06-05 00:00:00+00:00,16439.189855465855,51,Beras Premium
2025-06-10 00:00:00+00:00,16440.942164024415,51,Beras Premium
2025-06-11 00:00:00+00:00,16450.850776432275,51,Beras Premium
2025-06-12 00:00:00+00:00,16454.770667300418,51,Beras Premium
2025-06-13 00:00:00+00:00,16457.320792198043,51,Beras Premium
2025-06-16 00:00:00+00:00,16476.089818581568,51,Beras Premium
2025-06-17 00:00:00+00:00,16491.11816897742,51,Beras Premium
2025-06-18 00:00:00+00:00,16494.579273897274,51,Beras Premium
2025-06-19 00:00:00+00:00,16499.572845764596,51,Beras Premium
2025-06-20 00:00:00+00:00,16497.54551088101,51,Beras Premium
2025-06-23 00:00:00+00:00,16512.37873935299,51,Beras Premium
2025-06-24 00:00:00+00:00,16514.446774228774,51,Beras Premium
2025-06-25 00:00:00+00:00,16504.478176767676,51,Beras Premium
2025-06-26 00:00:00+00:00,16512.985094116844,51,Beras Premium
2025-06-30 00:00:00+00:00,16520.972613158614,51,Beras Premium
2025-07-01 00:00:00+00:00,16537.590473518972,51,Beras Premium
2025-07-02 00:00:00+00:00,16542.33522201747,51,Beras Premium
2025-07-03 00:00:00+00:00,16548.85169949495,51,Beras Premium
2025-07-04 00:00:00+00:00,16549.75942130767,51,Beras Premium
2025-07-07 00:00:00+00:00,16588.3905504368,51,Beras Premium
2025-07-08 00:00:00+00:00,16617.684852238603,51,Beras Premium
2025-07-09 00:00:00+00:00,16628.262924310675,51,Beras Premium
2025-07-10 00:00:00+00:00,16634.043735121486,51,Beras Premium
2025-07-11 00:00:00+00:00,16652.25146239421,51,Beras Premium
2025-07-14 00:00:00+00:00,16721.95721962872,51,Beras Premium
2025-07-15 00:00:00+00:00,16689.50954149604,51,Beras Premium
2025-07-16 00:00:00+00:00,16680.220715465464,51,Beras Premium
2025-07-17 00:00:00+00:00,16703.482154488906,51,Beras Premium
2025-07-18 00:00:00+00:00,16714.316177830427,51,Beras Premium
2025-07-21 00:00:00+00:00,16738.96666706154,51,Beras Premium
2025-07-22 00:00:00+00:00,16747.300000394876,51,Beras Premium
2025-07-23 00:00:00+00:00,16755.3289240913,51,Beras Premium
2025-07-24 00:00:00+00:00,16757.840524111773,51,Beras Premium
2025-07-25 00:00:00+00:00,16764.778500565502,51,Beras Premium
2025-07-28 00:00:00+00:00,16762.56482086307,51,Beras Premium
2025-07-29 00:00:00+00:00,16765.043208689207,51,Beras Premium
2025-07-30 00:00:00+00:00,16769.33857065832,51,Beras Premium
2025-07-31 00:00:00+00:00,16770.147333967085,51,Beras Premium
2025-08-01 00:00:00+00:00,16773.150392525644,51,Beras Premium
2025-05-06 00:00:00+00:00,18744.051425543024,14,Gula Pasir Curah
2025-05-07 00:00:00+00:00,18763.044221595657,14,Gula Pasir Curah
2025-05-08 00:00:00+00:00,18737.55695697577,14,Gula Pasir Curah
2025-05-09 00:00:00+00:00,18754.881540309107,14,Gula Pasir Curah
2025-05-14 00:00:00+00:00,18768.763126931914,14,Gula Pasir Curah
2025-05-15 00:00:00+00:00,18773.020235745615,14,Gula Pasir Curah
2025-05-16 00:00:00+00:00,18770.416534408938,14,Gula Pasir Curah
2025-05-19 00:00:00+00:00,18772.524297566833,14,Gula Pasir Curah
2025-05-20 00:00:00+00:00,18772.524297566833,14,Gula Pasir Curah
2025-05-21 00:00:00+00:00,18771.51916050543,14,Gula Pasir Curah
2025-05-22 00:00:00+00:00,18762.040571324145,14,Gula Pasir Curah
2025-05-23 00:00:00+00:00,18759.750103487888,14,Gula Pasir Curah
2025-05-26 00:00:00+00:00,18742.905884816206,14,Gula Pasir Curah
2025-05-27 00:00:00+00:00,18748.93660850042,14,Gula Pasir Curah
2025-05-28 00:00:00+00:00,18752.006783939014,14,Gula Pasir Curah
