,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
0,Indonesia,Cassava,1990,120691,2702.0,2432.0,25.37
1,Indonesia,Cassava,1990,120691,2702.0,2432.0,27.05
2,Indonesia,Cassava,1990,120691,2702.0,2432.0,27.11
3,Indonesia,Cassava,1990,120691,2702.0,2432.0,27.18
4,Indonesia,Cassava,1990,120691,2702.0,2432.0,26.79
5,Indonesia,Cassava,1990,120691,2702.0,2432.0,27.47
6,Indonesia,Cassava,1991,120946,2702.0,3259.0,25.27
7,Indonesia,Cassava,1991,120946,2702.0,3259.0,27.04
8,Indonesia,Cassava,1991,120946,2702.0,3259.0,26.92
9,Indonesia,Cassava,1991,120946,2702.0,3259.0,27.05
10,Indonesia,Cassava,1991,120946,2702.0,3259.0,26.61
11,Indonesia,Cassava,1991,120946,2702.0,3259.0,27.21
12,Indonesia,Cassava,1992,122220,2702.0,825.0,25.17
13,Indonesia,Cassava,1992,122220,2702.0,825.0,26.96
14,Indonesia,Cassava,1992,122220,2702.0,825.0,27.01
15,Indonesia,Cassava,1992,122220,2702.0,825.0,27.2
16,Indonesia,Cassava,1992,122220,2702.0,825.0,26.72
17,Indonesia,Cassava,1992,122220,2702.0,825.0,27.4
18,Indonesia,Cassava,1993,123323,2702.0,1597.0,25.46
19,Indonesia,Cassava,1993,123323,2702.0,1597.0,27.04
20,Indonesia,Cassava,1993,123323,2702.0,1597.0,26.9
21,Indonesia,Cassava,1993,123323,2702.0,1597.0,27.21
22,Indonesia,Cassava,1993,123323,2702.0,1597.0,26.88
23,Indonesia,Cassava,1993,123323,2702.0,1597.0,27.51
24,Indonesia,Cassava,1994,115946,2702.0,1597.0,25.21
25,Indonesia,Cassava,1994,115946,2702.0,1597.0,27.12
26,Indonesia,Cassava,1994,115946,2702.0,1597.0,26.97
27,Indonesia,Cassava,1994,115946,2702.0,1597.0,27.34
28,Indonesia,Cassava,1994,115946,2702.0,1597.0,26.56
29,Indonesia,Cassava,1994,115946,2702.0,1597.0,27.18
30,Indonesia,Cassava,1995,116605,2702.0,1597.0,25.46
31,Indonesia,Cassava,1995,116605,2702.0,1597.0,27.15
32,Indonesia,Cassava,1995,116605,2702.0,1597.0,27.08
33,Indonesia,Cassava,1995,116605,2702.0,1597.0,27.28
34,Indonesia,Cassava,1995,116605,2702.0,1597.0,26.74
35,Indonesia,Cassava,1995,116605,2702.0,1597.0,27.32
36,Indonesia,Cassava,1996,120150,2702.0,1597.0,25.41
37,Indonesia,Cassava,1996,120150,2702.0,1597.0,27.07
38,Indonesia,Cassava,1996,120150,2702.0,1597.0,27.0
39,Indonesia,Cassava,1996,120150,2702.0,1597.0,27.2
40,Indonesia,Cassava,1996,120150,2702.0,1597.0,26.83
41,Indonesia,Cassava,1996,120150,2702.0,1597.0,27.53
42,Indonesia,Cassava,1997,121718,2702.0,1597.0,25.52
43,Indonesia,Cassava,1997,121718,2702.0,1597.0,27.37
44,Indonesia,Cassava,1997,121718,2702.0,1597.0,27.26
45,Indonesia,Cassava,1997,121718,2702.0,1597.0,27.62
46,Indonesia,Cassava,1997,121718,2702.0,1597.0,26.83
47,Indonesia,Cassava,1997,121718,2702.0,1597.0,27.46
48,Indonesia,Cassava,1998,121925,2702.0,1597.0,25.81
