Provinsi,Kabupaten,No,Komoditas,Satuan,2020,2021,2022,2023,2024,2025
Simeulue,Simeulue,1,JAGUNG,Ha,0.0,1.0,0.0,0.0,0.0,0.0
Simeulue,Simeulue,2,KACANG HIJAU,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Simeulue,Simeulue,3,KACANG TANAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Simeulue,Simeulue,4,KEDELAI,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Simeulue,Simeulue,5,PADI,Ha,5236.42,5586.8,4568.38,5780.84,6809.33,0.0
Simeulue,Simeulue,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Simeulue,Simeulue,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Simeulue,Simeulue,8,UBIJALAR,Ha,4.0,7.0,8.2,1.6,0.0,0.0
Simeulue,Simeulue,9,UBIKAYU / KETELA POHON,Ha,4.0,7.0,8.2,30.7,0.0,0.0
Aceh,Aceh Singkil,1,JAGUNG,Ha,124.9,327.0,272.0,0.0,0.0,0.0
Aceh,Aceh Singkil,2,KACANG HIJAU,Ha,2.0,1.0,12.0,0.0,0.0,0.0
Aceh,Aceh Singkil,3,KACANG TANAH,Ha,17.0,20.0,12.0,0.0,0.0,0.0
Aceh,Aceh Singkil,4,KEDELAI,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Singkil,5,PADI,Ha,747.15,647.32,398.8,568.49,477.29,0.0
Aceh,Aceh Singkil,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Singkil,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Singkil,8,UBIJALAR,Ha,4.0,1.0,2.0,1.0,0.0,0.0
Aceh,Aceh Singkil,9,UBIKAYU / KETELA POHON,Ha,4.0,1.0,2.0,4.0,0.0,0.0
Aceh,Aceh Selatan,1,JAGUNG,Ha,6215.7,3230.0,4394.4,0.0,0.0,0.0
Aceh,Aceh Selatan,2,KACANG HIJAU,Ha,25.0,36.0,93.2,18.0,0.0,0.0
Aceh,Aceh Selatan,3,KACANG TANAH,Ha,97.0,100.7,93.2,83.64,0.0,0.0
Aceh,Aceh Selatan,4,KEDELAI,Ha,0.0,0.0,0.0,2.35,0.0,0.0
Aceh,Aceh Selatan,5,PADI,Ha,9872.89,8930.58,6780.36,9437.58,8660.18,0.0
Aceh,Aceh Selatan,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Selatan,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Selatan,8,UBIJALAR,Ha,49.0,69.0,55.0,26.0,0.0,0.0
Aceh,Aceh Selatan,9,UBIKAYU / KETELA POHON,Ha,49.0,69.0,55.0,82.0,0.0,0.0
Aceh,Aceh Tenggara,1,JAGUNG,Ha,40602.0,30510.6,24482.0,0.0,0.0,0.0
Aceh,Aceh Tenggara,2,KACANG HIJAU,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Tenggara,3,KACANG TANAH,Ha,0.0,3.0,0.0,0.0,0.0,0.0
Aceh,Aceh Tenggara,4,KEDELAI,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Tenggara,5,PADI,Ha,10508.56,10644.51,10572.44,10809.75,11780.75,0.0
Aceh,Aceh Tenggara,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Tenggara,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Tenggara,8,UBIJALAR,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Tenggara,9,UBIKAYU / KETELA POHON,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Timur,1,JAGUNG,Ha,5273.0,4283.0,1662.0,0.0,0.0,0.0
Aceh,Aceh Timur,2,KACANG HIJAU,Ha,190.0,80.0,0.0,0.0,0.0,0.0
Aceh,Aceh Timur,3,KACANG TANAH,Ha,2.0,3.0,0.0,0.0,0.0,0.0
Aceh,Aceh Timur,4,KEDELAI,Ha,0.0,10.0,198.0,34.02,0.0,0.0
Aceh,Aceh Timur,5,PADI,Ha,29929.34,27425.19,24556.61,20932.84,28474.38,0.0
Aceh,Aceh Timur,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Timur,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Timur,8,UBIJALAR,Ha,8.0,9.0,1.0,15.0,0.0,0.0
Aceh,Aceh Timur,9,UBIKAYU / KETELA POHON,Ha,8.0,9.0,1.0,20.0,0.0,0.0
Aceh,Aceh Tengah,1,JAGUNG,Ha,4.7,37.0,32.6,0.0,0.0,0.0
Aceh,Aceh Tengah,2,KACANG HIJAU,Ha,0.0,0.0,1.0,0.0,0.0,0.0
Aceh,Aceh Tengah,3,KACANG TANAH,Ha,0.0,3.0,1.0,0.48,0.0,0.0
Aceh,Aceh Tengah,4,KEDELAI,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Tengah,5,PADI,Ha,3503.1,3171.42,2821.09,2768.66,2973.25,0.0
Aceh,Aceh Tengah,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Tengah,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Tengah,8,UBIJALAR,Ha,14.0,9.0,8.0,7.67,0.0,0.0
Aceh,Aceh Tengah,9,UBIKAYU / KETELA POHON,Ha,14.0,9.0,8.0,17.62,0.0,0.0
Aceh,Aceh Barat,1,JAGUNG,Ha,62.0,57.0,149.5,0.0,0.0,0.0
Aceh,Aceh Barat,2,KACANG HIJAU,Ha,0.0,0.0,213.5,0.0,0.0,0.0
Aceh,Aceh Barat,3,KACANG TANAH,Ha,242.8,197.0,213.5,222.0,0.0,0.0
Aceh,Aceh Barat,4,KEDELAI,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Barat,5,PADI,Ha,13832.38,12522.87,12703.03,10428.34,12393.78,0.0
Aceh,Aceh Barat,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Barat,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Barat,8,UBIJALAR,Ha,37.0,18.0,34.0,32.0,0.0,0.0
Aceh,Aceh Barat,9,UBIKAYU / KETELA POHON,Ha,37.0,18.0,34.0,29.0,0.0,0.0
Aceh,Aceh Besar,1,JAGUNG,Ha,1655.1,1001.0,1024.0,0.0,0.0,0.0
Aceh,Aceh Besar,2,KACANG HIJAU,Ha,14.8,12.8,100.7,81.4,0.0,0.0
