Provinsi,Kabupaten,No,Komoditas,Satuan,2020,2021,2022,2023,2024,2025
Simeulue,Simeulue,1,JAGUNG,Ton,0.0,6.2,0.0,0.0,0.0,0.0
Simeulue,Simeulue,2,KACANG HIJAU,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Simeulue,Simeulue,3,KACANG TANAH,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Simeulue,Simeulue,4,KEDELAI,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Simeulue,Simeulue,5,PADI,Ton,16430.86,16728.21,11648.15,22042.94,0.0,0.0
Simeulue,Simeulue,6,PADI LADANG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Simeulue,Simeulue,7,PADI SAWAH,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Simeulue,Simeulue,8,UBIJALAR,Ton,62.98,128.97,144.77,34.29,0.0,0.0
Simeulue,Simeulue,9,UBIKAYU / KETELA POHON,Ton,469.53,2738.49,2488.43,1117.61,0.0,0.0
Aceh,Aceh Singkil,1,JAGUNG,Ton,694.89,1747.15,1550.36,0.0,0.0,0.0
Aceh,Aceh Singkil,2,KACANG HIJAU,Ton,1.6,0.8,19.99,0.0,0.0,0.0
Aceh,Aceh Singkil,3,KACANG TANAH,Ton,23.97,26.3,19.99,0.0,0.0,0.0
Aceh,Aceh Singkil,4,KEDELAI,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Singkil,5,PADI,Ton,3808.19,3350.51,2203.58,2589.4,0.0,0.0
Aceh,Aceh Singkil,6,PADI LADANG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Singkil,7,PADI SAWAH,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Singkil,8,UBIJALAR,Ton,43.98,16.16,30.78,21.43,0.0,0.0
Aceh,Aceh Singkil,9,UBIKAYU / KETELA POHON,Ton,1801.42,1663.06,1562.95,145.62,0.0,0.0
Aceh,Aceh Selatan,1,JAGUNG,Ton,30772.89,20752.34,25240.23,0.0,0.0,0.0
Aceh,Aceh Selatan,2,KACANG HIJAU,Ton,26.1,20.5,163.89,0.0,0.0,0.0
Aceh,Aceh Selatan,3,KACANG TANAH,Ton,170.15,148.52,163.89,115.44,0.0,0.0
Aceh,Aceh Selatan,4,KEDELAI,Ton,0.0,0.0,0.0,3.93,0.0,0.0
Aceh,Aceh Selatan,5,PADI,Ton,53313.52,44839.8,30288.69,46345.03,0.0,0.0
