Provinsi,Kabupaten,No,Komoditas,Satuan,2020,2021,2022,2023,2024,2025
Simeulue,Simeulue,1,JAGUNG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Simeulue,Simeulue,2,KACANG HIJAU,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Simeulue,Simeulue,3,KACANG TANAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Simeulue,Simeulue,4,KEDELAI,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Simeulue,Simeulue,5,PADI,Kuintal/Ha,31.38,29.94,25.5,0.0,0.0,0.0
Simeulue,Simeulue,6,PADI LADANG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Simeulue,Simeulue,7,PADI SAWAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Simeulue,Simeulue,8,UBIJALAR,Kuintal/Ha,157.44,184.24,176.55,0.0,0.0,0.0
Simeulue,Simeulue,9,UBIKAYU / KETELA POHON,Kuintal/Ha,157.44,184.24,176.55,0.0,0.0,0.0
Aceh,Aceh Singkil,1,JAGUNG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Singkil,2,KACANG HIJAU,Kuintal/Ha,8.0,8.0,16.66,0.0,0.0,0.0
Aceh,Aceh Singkil,3,KACANG TANAH,Kuintal/Ha,14.1,13.15,16.66,0.0,0.0,0.0
Aceh,Aceh Singkil,4,KEDELAI,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Singkil,5,PADI,Kuintal/Ha,50.97,51.76,55.26,0.0,0.0,0.0
Aceh,Aceh Singkil,6,PADI LADANG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Singkil,7,PADI SAWAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Singkil,8,UBIJALAR,Kuintal/Ha,109.95,161.63,153.92,0.0,0.0,0.0
Aceh,Aceh Singkil,9,UBIKAYU / KETELA POHON,Kuintal/Ha,109.95,161.63,153.92,0.0,0.0,0.0
Aceh,Aceh Selatan,1,JAGUNG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Selatan,2,KACANG HIJAU,Kuintal/Ha,10.44,5.69,17.58,0.0,0.0,0.0
Aceh,Aceh Selatan,3,KACANG TANAH,Kuintal/Ha,17.54,14.75,17.58,0.0,0.0,0.0
Aceh,Aceh Selatan,4,KEDELAI,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Selatan,5,PADI,Kuintal/Ha,54.0,50.21,44.67,0.0,0.0,0.0
Aceh,Aceh Selatan,6,PADI LADANG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Selatan,7,PADI SAWAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Selatan,8,UBIJALAR,Kuintal/Ha,127.69,213.58,182.31,0.0,0.0,0.0
Aceh,Aceh Selatan,9,UBIKAYU / KETELA POHON,Kuintal/Ha,127.69,213.58,182.31,0.0,0.0,0.0
Aceh,Aceh Tenggara,1,JAGUNG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Tenggara,2,KACANG HIJAU,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Tenggara,3,KACANG TANAH,Kuintal/Ha,0.0,12.57,0.0,0.0,0.0,0.0
Aceh,Aceh Tenggara,4,KEDELAI,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Tenggara,5,PADI,Kuintal/Ha,63.72,61.59,65.72,0.0,0.0,0.0
Aceh,Aceh Tenggara,6,PADI LADANG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Tenggara,7,PADI SAWAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Tenggara,8,UBIJALAR,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Tenggara,9,UBIKAYU / KETELA POHON,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Timur,1,JAGUNG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
